time,seconds_elapsed,dBFS
1717498784392000000,54.206,-22.000244140625
1717498784492000000,54.306,-26.61617088317871
1717498784592000000,54.406,-31.088817596435547
1717498784692000000,54.506,-34.45561981201172
1717498784792000000,54.606,-38.78337478637695
1717498784892000000,54.706,-42.4040641784668
1717498784992000000,54.806,-46.03325271606445
1717498785092000000,54.906,-48.05910873413086
1717498785192000000,55.006,-48.6909065246582
1717498785292000000,55.106,-50.39800262451172
1717498785392000000,55.206,-51.933433532714844
1717498785492000000,55.306,-29.784290313720703
1717498785592000000,55.406,-34.02105712890625
1717498785692000000,55.506,-36.95850372314453
1717498785809000000,55.623,-41.671268463134766
1717498785914000000,55.72799975585937,-45.47053909301758
1717498786026000000,55.839999755859374,-46.104496002197266
1717498786126000000,55.94000024414063,-48.86180114746094
1717498786226000000,56.03999975585938,-48.73367691040039
1717498786326000000,56.14000024414062,-49.63431167602539
1717498786426000000,56.23999975585937,-38.392822265625
1717498786526000000,56.340000244140626,-40.53718185424805
1717498786626000000,56.439999755859375,-42.99760437011719
1717498786726000000,56.54000024414062,-44.77535629272461
1717498786826000000,56.63999975585938,-46.71540069580078
1717498786926000000,56.740000244140624,-48.307498931884766
1717498787026000000,56.839999755859374,-49.28068923950195
1717498787126000000,56.94000024414063,-50.42021179199219
1717498787226000000,57.03999975585938,-49.481502532958984
1717498787326000000,57.14000024414062,-51.150428771972656
1717498787426000000,57.23999975585937,-23.99321746826172
1717498787526000000,57.340000244140626,-27.39279556274414
1717498787626000000,57.439999755859375,-32.059268951416016
1717498787726000000,57.54000024414062,-36.226863861083984
1717498787826000000,57.63999975585938,-39.15591812133789
1717498787926000000,57.740000244140624,-42.639015197753906
1717498788026000000,57.839999755859374,-45.611610412597656
1717498788126000000,57.94000024414063,-47.85846710205078
1717498788226000000,58.03999975585938,-50.26926803588867
1717498788326000000,58.14000024414062,-49.881126403808594
1717498788426000000,58.23999975585937,-47.90595626831055
1717498788526000000,58.340000244140626,-21.18474578857422
1717498788626000000,58.439999755859375,-25.76195526123047
1717498788726000000,58.54000024414062,-30.594152450561523
1717498788826000000,58.63999975585938,-34.096961975097656
1717498788926000000,58.740000244140624,-38.41101837158203
1717498789027000000,58.841,-40.52823257446289
1717498789126000000,58.94000024414063,-43.28993225097656
1717498789226000000,59.03999975585938,-46.196502685546875
1717498789326000000,59.14000024414062,-40.719886779785156
1717498789426000000,59.23999975585937,-43.08385467529297
1717498789526000000,59.340000244140626,-46.214195251464844
1717498789626000000,59.439999755859375,-19.723468780517578
1717498789726000000,59.54000024414062,-23.69935417175293
1717498789843000000,59.657,-29.46659278869629
1717498789943000000,59.757,-34.153446197509766
1717498790048000000,59.862,-38.6215705871582
1717498790160000000,59.974,-42.39595413208008
1717498790260000000,60.074,-45.020748138427734
1717498790360000000,60.174,-44.516361236572266
1717498790460000000,60.274,-47.6901741027832
1717498790560000000,60.374,-48.962646484375
1717498790660000000,60.474,-38.377967834472656
1717498790760000000,60.574,-41.58944320678711
1717498790860000000,60.674,-43.93657302856445
1717498790960000000,60.774,-45.46066665649414
1717498791060000000,60.874,-48.769432067871094
1717498791160000000,60.974,-50.80040740966797
1717498791260000000,61.074,-51.34421920776367
1717498791360000000,61.174,-51.63397979736328
1717498791460000000,61.274,-40.11712646484375
1717498791560000000,61.374,-38.498233795166016
1717498791661000000,61.475,-17.58061981201172
1717498791777000000,61.591,-23.45875358581543
1717498791877000000,61.691,-27.15108299255371
1717498791977000000,61.791,-31.824981689453125
1717498792077000000,61.891,-36.23537826538086
1717498792177000000,61.991,-39.310577392578125
1717498792277000000,62.091,-42.393863677978516
1717498792377000000,62.191,-44.309329986572266
1717498792477000000,62.291,-45.760841369628906
1717498792577000000,62.391,-48.43020248413086
1717498792677000000,62.491,-20.75313949584961
1717498792777000000,62.591,-24.56631851196289
1717498792877000000,62.691,-29.09832191467285
1717498792977000000,62.791,-32.47968292236328
1717498793077000000,62.891,-35.779441833496094
1717498793177000000,62.991,-38.43659210205078
1717498793277000000,63.091,-42.61956787109375
1717498793377000000,63.191,-41.66326904296875
1717498793477000000,63.291,-30.648757934570312
